Waktu,Vc(V)
0.002160,-30.000000
0.002170,50.000000
0.002180,-30.000000
0.002190,50.000000
0.002200,-30.000000
0.002210,50.000000
0.002220,-30.000000
0.002230,50.000000
0.002240,-30.000000
0.002250,50.000000
0.002260,-30.000000
0.002270,50.000000
0.002280,-30.000000
0.002290,50.000000
0.002300,-30.000000
0.002310,50.000000
0.002320,-30.000000
0.002330,50.000000
0.002340,-30.000000
0.002350,50.000000
0.002360,-30.000000
0.002370,50.000000
0.002380,-30.000000
0.002390,50.000000
0.002400,-30.000000
0.002410,50.000000
0.002420,-30.000000
0.002430,50.000000
0.002440,-30.000000
0.002450,50.000000
0.002460,-30.000000
0.002470,50.000000
0.002480,-30.000000
0.002490,50.000000
0.002500,-30.000000
0.002510,50.000000
0.002520,-30.000000
0.002530,50.000000
0.002540,-30.000000
0.002550,50.000000
0.002560,-30.000000
0.002570,50.000000
0.002580,-30.000000
0.002590,50.000000
0.002600,-30.000000
0.002610,50.000000
0.002620,-30.000000
0.002630,50.000000
0.002640,-30.000000
0.002650,50.000000
0.002660,-30.000000
0.002670,50.000000
0.002680,-30.000000
0.002690,50.000000
0.002700,-30.000000
0.002710,50.000000
0.002720,-30.000000
0.002730,50.000000
0.002740,-30.000000
0.002750,50.000000
0.002760,-30.000000
0.002770,50.000000
0.002780,-30.000000
0.002790,50.000000
0.002800,-30.000000
0.002810,50.000000
0.002820,-30.000000
0.002830,50.000000
0.002840,-30.000000
0.002850,50.000000
0.002860,-30.000000
0.002870,50.000000
0.002880,-30.000000
0.002890,50.000000
0.002900,-30.000000
0.002910,50.000000
0.002920,-30.000000
0.002930,50.000000
0.002940,-30.000000
0.002950,50.000000
0.002960,-30.000000
0.002970,50.000000
0.002980,-30.000000
0.002990,50.000000
0.003000,-30.000000
0.003010,50.000000
0.003020,-30.000000
0.003030,50.000000
0.003040,-30.000000
0.003050,50.000000
0.003060,-30.000000
0.003070,50.000000
0.003080,-30.000000
0.003090,50.000000
0.003100,-30.000000
0.003110,50.000000
0.003120,-30.000000
0.003130,50.000000
0.003140,-30.000000
0.003150,50.000000
0.003160,-30.000000
0.003170,50.000000
0.003180,-30.000000
0.003190,50.000000
0.003200,-30.000000
0.003210,50.000000
0.003220,-30.000000
0.003230,50.000000
0.003240,-30.000000
0.003250,50.000000
0.003260,-30.000000
0.003270,50.000000
0.003280,-30.000000
0.003290,50.000000
0.003300,-30.000000
0.003310,50.000000
0.003320,-30.000000
0.003330,50.000000
0.003340,-30.000000
0.003350,50.000000
0.003360,-30.000000
0.003370,50.000000
0.003380,-30.000000
0.003390,50.000000
0.003400,-30.000000
0.003410,50.000000
0.003420,-30.000000
0.003430,50.000000
0.003440,-30.000000
0.003450,50.000000
0.003460,-30.000000
0.003470,50.000000
0.003480,-30.000000
0.003490,50.000000
0.003500,-30.000000
0.003510,50.000000
0.003520,-30.000000
0.003530,50.000000
0.003540,-30.000000
0.003550,50.000000
0.003560,-30.000000
0.003570,50.000000
0.003580,-30.000000
0.003590,50.000000
0.003600,-30.000000
0.003610,50.000000
0.003620,-30.000000
0.003630,50.000000
0.003640,-30.000000
0.003650,50.000000
0.003660,-30.000000
0.003670,50.000000
0.003680,-30.000000
0.003690,50.000000
0.003700,-30.000000
0.003710,50.000000
0.003720,-30.000000
0.003730,50.000000
0.003740,-30.000000
0.003750,50.000000
0.003760,-30.000000
0.003770,50.000000
0.003780,-30.000000
0.003790,50.000000
0.003800,-30.000000
