Waktu (s);Vo (V);I (A)
3.5900;0.9724;0.0276 
3.6000;0.9727;0.0273 
3.6100;0.9729;0.0271 
3.6200;0.9732;0.0268 
3.6300;0.9735;0.0265 
3.6400;0.9737;0.0263 
3.6500;0.9740;0.0260 
3.6600;0.9743;0.0257 
3.6700;0.9745;0.0255 
3.6800;0.9748;0.0252 
3.6900;0.9750;0.0250 
3.7000;0.9753;0.0247 
3.7100;0.9755;0.0245 
3.7200;0.9758;0.0242 
3.7300;0.9760;0.0240 
3.7400;0.9762;0.0238 
3.7500;0.9765;0.0235 
3.7600;0.9767;0.0233 
3.7700;0.9769;0.0231 
3.7800;0.9772;0.0228 
3.7900;0.9774;0.0226 
3.8000;0.9776;0.0224 
3.8100;0.9779;0.0221 
3.8200;0.9781;0.0219 
3.8300;0.9783;0.0217 
3.8400;0.9785;0.0215 
3.8500;0.9787;0.0213 
3.8600;0.9789;0.0211 
3.8700;0.9791;0.0209 
3.8800;0.9793;0.0207 
3.8900;0.9796;0.0204 
3.9000;0.9798;0.0202 
3.9100;0.9800;0.0200 
3.9200;0.9802;0.0198 
3.9300;0.9804;0.0196 
3.9400;0.9806;0.0194 
3.9500;0.9807;0.0193 
3.9600;0.9809;0.0191 
3.9700;0.9811;0.0189 
3.9800;0.9813;0.0187 
3.9900;0.9815;0.0185 
4.0000;0.9817;0.0183 
4.0100;0.9819;0.0181 
4.0200;0.9820;0.0180 
4.0300;0.9822;0.0178 
4.0400;0.9824;0.0176 
4.0500;0.9826;0.0174 
4.0600;0.9828;0.0172 
4.0700;0.9829;0.0171 
4.0800;0.9831;0.0169 
4.0900;0.9833;0.0167 
4.1000;0.9834;0.0166 
4.1100;0.9836;0.0164 
4.1200;0.9838;0.0162 
4.1300;0.9839;0.0161 
4.1400;0.9841;0.0159 
4.1500;0.9842;0.0158 
4.1600;0.9844;0.0156 
4.1700;0.9845;0.0155 
4.1800;0.9847;0.0153 
4.1900;0.9849;0.0151 
4.2000;0.9850;0.0150 
4.2100;0.9852;0.0148 
4.2200;0.9853;0.0147 
4.2300;0.9854;0.0146 
4.2400;0.9856;0.0144 
4.2500;0.9857;0.0143 
4.2600;0.9859;0.0141 
4.2700;0.9860;0.0140 
4.2800;0.9862;0.0138 
4.2900;0.9863;0.0137 
4.3000;0.9864;0.0136 
4.3100;0.9866;0.0134 
4.3200;0.9867;0.0133 
4.3300;0.9868;0.0132 
4.3400;0.9870;0.0130 
4.3500;0.9871;0.0129 
4.3600;0.9872;0.0128 
4.3700;0.9873;0.0127 
4.3800;0.9875;0.0125 
4.3900;0.9876;0.0124 
4.4000;0.9877;0.0123 
4.4100;0.9878;0.0122 
4.4200;0.9880;0.0120 
4.4300;0.9881;0.0119 
4.4400;0.9882;0.0118 
4.4500;0.9883;0.0117 
4.4600;0.9884;0.0116 
4.4700;0.9886;0.0114 
4.4800;0.9887;0.0113 
4.4900;0.9888;0.0112 
4.5000;0.9889;0.0111 
4.5100;0.9890;0.0110 
4.5200;0.9891;0.0109 
4.5300;0.9892;0.0108 
4.5400;0.9893;0.0107 
4.5500;0.9894;0.0106 
4.5600;0.9895;0.0105 
4.5700;0.9896;0.0104 
4.5800;0.9897;0.0103 
4.5900;0.9898;0.0102 
4.6000;0.9899;0.0101 
4.6100;0.9900;0.0100 
4.6200;0.9901;0.0099 
4.6300;0.9902;0.0098 
4.6400;0.9903;0.0097 
4.6500;0.9904;0.0096 
4.6600;0.9905;0.0095 
4.6700;0.9906;0.0094 
4.6800;0.9907;0.0093 
4.6900;0.9908;0.0092 
4.7000;0.9909;0.0091 
4.7100;0.9910;0.0090 
4.7200;0.9911;0.0089 
4.7300;0.9912;0.0088 
4.7400;0.9913;0.0087 
4.7500;0.9913;0.0087 
4.7600;0.9914;0.0086 
4.7700;0.9915;0.0085 
4.7800;0.9916;0.0084 
4.7900;0.9917;0.0083 
4.8000;0.9918;0.0082 
4.8100;0.9919;0.0081 
4.8200;0.9919;0.0081 
4.8300;0.9920;0.0080 
4.8400;0.9921;0.0079 
4.8500;0.9922;0.0078 
4.8600;0.9922;0.0078 
4.8700;0.9923;0.0077 
4.8800;0.9924;0.0076 
4.8900;0.9925;0.0075 
4.9000;0.9926;0.0074 
4.9100;0.9926;0.0074 
4.9200;0.9927;0.0073 
4.9300;0.9928;0.0072 
4.9400;0.9928;0.0072 
4.9500;0.9929;0.0071 
4.9600;0.9930;0.0070 
4.9700;0.9931;0.0069 
4.9800;0.9931;0.0069 
4.9900;0.9932;0.0068 
5.0000;0.9933;0.0067 
5.0100;0.9933;0.0067 
5.0200;0.9934;0.0066 
5.0300;0.9935;0.0065 
5.0400;0.9935;0.0065 
5.0500;0.9936;0.0064 
5.0600;0.9937;0.0063 
5.0700;0.9937;0.0063 
5.0800;0.9938;0.0062 
5.0900;0.9938;0.0062 
5.1000;0.9939;0.0061 
5.1100;0.9940;0.0060 
5.1200;0.9940;0.0060 
5.1300;0.9941;0.0059 
5.1400;0.9941;0.0059 
5.1500;0.9942;0.0058 
5.1600;0.9943;0.0057 
5.1700;0.9943;0.0057 
5.1800;0.9944;0.0056 
5.1900;0.9944;0.0056 
5.2000;0.9945;0.0055 
5.2100;0.9945;0.0055 
5.2200;0.9946;0.0054 
5.2300;0.9946;0.0054 
5.2400;0.9947;0.0053 
5.2500;0.9948;0.0052 
5.2600;0.9948;0.0052 
5.2700;0.9949;0.0051 
5.2800;0.9949;0.0051 
5.2900;0.9950;0.0050 
5.3000;0.9950;0.0050 
5.3100;0.9951;0.0049 
5.3200;0.9951;0.0049 
5.3300;0.9952;0.0048 
5.3400;0.9952;0.0048 
5.3500;0.9953;0.0047 
5.3600;0.9953;0.0047 
5.3700;0.9953;0.0047 
5.3800;0.9954;0.0046 
5.3900;0.9954;0.0046 
5.4000;0.9955;0.0045 
5.4100;0.9955;0.0045 
5.4200;0.9956;0.0044 
5.4300;0.9956;0.0044 
5.4400;0.9957;0.0043 
5.4500;0.9957;0.0043 
5.4600;0.9957;0.0043 
5.4700;0.9958;0.0042 
5.4800;0.9958;0.0042 
5.4900;0.9959;0.0041 
5.5000;0.9959;0.0041 
5.5100;0.9960;0.0040 
5.5200;0.9960;0.0040 
5.5300;0.9960;0.0040 
5.5400;0.9961;0.0039 
5.5500;0.9961;0.0039 
5.5600;0.9962;0.0038 
5.5700;0.9962;0.0038 
5.5800;0.9962;0.0038 
5.5900;0.9963;0.0037 
5.6000;0.9963;0.0037 
5.6100;0.9963;0.0037 
5.6200;0.9964;0.0036 
5.6300;0.9964;0.0036 
5.6400;0.9964;0.0036 
5.6500;0.9965;0.0035 
5.6600;0.9965;0.0035 
5.6700;0.9966;0.0034 
5.6800;0.9966;0.0034 
5.6900;0.9966;0.0034 
5.7000;0.9967;0.0033 
5.7100;0.9967;0.0033 
5.7200;0.9967;0.0033 
5.7300;0.9968;0.0032 
5.7400;0.9968;0.0032 
5.7500;0.9968;0.0032 
5.7600;0.9968;0.0032 
5.7700;0.9969;0.0031 
5.7800;0.9969;0.0031 
5.7900;0.9969;0.0031 
5.8000;0.9970;0.0030 
5.8100;0.9970;0.0030 
5.8200;0.9970;0.0030 
5.8300;0.9971;0.0029 
5.8400;0.9971;0.0029 
5.8500;0.9971;0.0029 
5.8600;0.9971;0.0029 
5.8700;0.9972;0.0028 
5.8800;0.9972;0.0028 
5.8900;0.9972;0.0028 
5.9000;0.9973;0.0027 
5.9100;0.9973;0.0027 
5.9200;0.9973;0.0027 
5.9300;0.9973;0.0027 
5.9400;0.9974;0.0026 
5.9500;0.9974;0.0026 
5.9600;0.9974;0.0026 
5.9700;0.9974;0.0026 
5.9800;0.9975;0.0025 
5.9900;0.9975;0.0025 
6.0000;0.9975;0.0025 
6.0100;0.9975;0.0025 
6.0200;0.9976;0.0024 
6.0300;0.9976;0.0024 
6.0400;0.9976;0.0024 
6.0500;0.9976;0.0024 
6.0600;0.9977;0.0023 
6.0700;0.9977;0.0023 
6.0800;0.9977;0.0023 
6.0900;0.9977;0.0023 
6.1000;0.9978;0.0022 
6.1100;0.9978;0.0022 
6.1200;0.9978;0.0022 
6.1300;0.9978;0.0022 
6.1400;0.9978;0.0022 
6.1500;0.9979;0.0021 
6.1600;0.9979;0.0021 
6.1700;0.9979;0.0021 
6.1800;0.9979;0.0021 
6.1900;0.9980;0.0020 
6.2000;0.9980;0.0020 
6.2100;0.9980;0.0020 
6.2200;0.9980;0.0020 
6.2300;0.9980;0.0020 
6.2400;0.9981;0.0019 
6.2500;0.9981;0.0019 
6.2600;0.9981;0.0019 
6.2700;0.9981;0.0019 
6.2800;0.9981;0.0019 
6.2900;0.9981;0.0019 
6.3000;0.9982;0.0018 
6.3100;0.9982;0.0018 
6.3200;0.9982;0.0018 
6.3300;0.9982;0.0018 
6.3400;0.9982;0.0018 
6.3500;0.9983;0.0017 
6.3600;0.9983;0.0017 
6.3700;0.9983;0.0017 
6.3800;0.9983;0.0017 
6.3900;0.9983;0.0017 
6.4000;0.9983;0.0017 
6.4100;0.9984;0.0016 
6.4200;0.9984;0.0016 
6.4300;0.9984;0.0016 
6.4400;0.9984;0.0016 
6.4500;0.9984;0.0016 
6.4600;0.9984;0.0016 
6.4700;0.9985;0.0015 
6.4800;0.9985;0.0015 
6.4900;0.9985;0.0015 
6.5000;0.9985;0.0015 
6.5100;0.9985;0.0015 
6.5200;0.9985;0.0015 
6.5300;0.9985;0.0015 
6.5400;0.9986;0.0014 
6.5500;0.9986;0.0014 
6.5600;0.9986;0.0014 
6.5700;0.9986;0.0014 
6.5800;0.9986;0.0014 
6.5900;0.9986;0.0014 
6.6000;0.9986;0.0014 
6.6100;0.9987;0.0013 
6.6200;0.9987;0.0013 
6.6300;0.9987;0.0013 
6.6400;0.9987;0.0013 
6.6500;0.9987;0.0013 
6.6600;0.9987;0.0013 
6.6700;0.9987;0.0013 
6.6800;0.9987;0.0013 
6.6900;0.9988;0.0012 
6.7000;0.9988;0.0012 
6.7100;0.9988;0.0012 
6.7200;0.9988;0.0012 
6.7300;0.9988;0.0012 
6.7400;0.9988;0.0012 
6.7500;0.9988;0.0012 
6.7600;0.9988;0.0012 
6.7700;0.9989;0.0011 
6.7800;0.9989;0.0011 
6.7900;0.9989;0.0011 
6.8000;0.9989;0.0011 
6.8100;0.9989;0.0011 
6.8200;0.9989;0.0011 
6.8300;0.9989;0.0011 
6.8400;0.9989;0.0011 
6.8500;0.9989;0.0011 
6.8600;0.9990;0.0010 
6.8700;0.9990;0.0010 
6.8800;0.9990;0.0010 
6.8900;0.9990;0.0010 
6.9000;0.9990;0.0010 
6.9100;0.9990;0.0010 
6.9200;0.9990;0.0010 
6.9300;0.9990;0.0010 
6.9400;0.9990;0.0010 
6.9500;0.9990;0.0010 
6.9600;0.9991;0.0009 
6.9700;0.9991;0.0009 
6.9800;0.9991;0.0009 
6.9900;0.9991;0.0009 
7.0000;0.9991;0.0009 
7.0100;0.9991;0.0009 
7.0200;0.9991;0.0009 
7.0300;0.9991;0.0009 
